Row,X,Y,Z,R
LPSI2,198,96,234,0
RPSI2,120,101,226,0
RPSI,118,144,256,0
LPSI,202,144,247,0
LASI2,316,172,44,0
RASI2,25,183,67,0
RASI,27,218,75,0
LASI,296,222,48,0
CLT1,262,356,32,0
CLT2,319,372,30,0
CLT3,268,416,26,0
CLT4,325,432,23,0
CRT1,79,507,95,0
CRT2,28,525,110,0
CRT3,30,563,120,0
CRT4,82,584,114,0
RKNE,8,651,193,0
LKNE,324,656,96,0
RKNI,141,667,196,0
LKNI,187,689,138,0
RHJC,83,260,152,15
LHJC,255,257,144,20
RMFC,93,670,218,18
RLFC,52,666,201,19
LMFC,238,673,147,17
LLFC,284,667,134,18
PSYM,167,287,103,0
RASI_eos,52,223,87,0
LASI_eos,281,213,71,0
