Row,X,Y,Z,R
NM1,0,0,0,0
RPSI2,171,92,265,0
LPSI2,273,92,275,0
LPSI,231,93,271,0
RPSI,136,96,276,0
RASI2,2,119,134,0
RASI,20,132,110,0
LASI,291,135,46,0
LASI2,259,141,37,0
NM2,35,282,265,0
NM3,39,302,275,0
CLT1,274,324,15,0
CLT2,330,342,14,0
NM4,138,366,134,0
CLT3,277,384,10,0
CLT4,333,402,10,0
CRT1,86,449,88,0
CRT2,35,473,96,0
CRT3,39,512,102,0
CRT4,94,529,97,0
RKNE,18,607,169,0
RKNI,138,612,157,0
LKNI,210,613,87,0
RHJC,80,206,172,23
LHJC,260,201,143,27
RMFC,104,616,181,22
RLFC,55,614,174,22
LMFC,252,616,114,20
LLFC,307,609,100,23
PSYM,165,213,98,0
RASI_eos,36,155,128,0
LASI_eos,291,143,75,0
