Row,X,Y,Z,R
NM1,124,1,189,0
RPSI2,151,71,272,0
LPSI2,226,74,282,0
RPSI,146,106,274,0
LPSI,224,109,287,0
RASI,40,149,107,0
LASI,325,163,85,0
RASI2,27,182,114,0
LASI2,326,205,83,0
CRT1,114,385,73,0
CRT2,59,408,73,0
CRT3,61,448,73,0
CRT4,117,466,71,0
CLT1,229,479,120,0
CLT2,278,502,121,0
CLT3,224,539,126,0
CLT4,273,562,128,0
RKNI,149,596,101,0
LKNE,297,600,213,0
RKNE,26,619,122,0
LKNI,178,623,206,0
RHJC,108,205,173,19
LHJC,256,205,173,16
RMFC,120,609,138,24
RLFC,65,607,131,21
LMFC,212,615,221,22
LLFC,260,614,230,20
PSYM,183,226,116,0
RASI_eos,66,157,124,0
LASI_eos,293,162,123,0
