Row,X,Y,Z,R
NM1,0,0,0,0
RPSI2,114,50,209,0
LPSI2,196,55,219,0
RPSI,111,94,224,0
LPSI,199,98,238,0
LASI2,319,113,106,0
RASI,13,132,77,0
LASI,314,147,77,0
RASI2,7,170,85,0
CRT1,67,293,70,0
CRT2,10,307,79,0
CRT3,6,348,78,0
CRT4,57,372,67,0
CLT1,218,421,93,0
CLT2,270,443,88,0
CLT3,215,481,98,0
CLT4,267,503,93,0
RKNE,26,614,106,0
RKNI,143,614,130,0
LKNE,289,615,164,0
LKNI,171,621,167,0
RHJC,76,218,149,23
LHJC,230,217,135,24
RMFC,110,621,137,22
RLFC,63,620,138,20
LMFC,215,625,189,22
LLFC,260,620,180,19
PSYM,158,232,81,0
RASI_eos,18,147,82,0
LASI_eos,308,156,81,0
